Start the ALNS algorithm 
Iteration: 1, combined_action: 15, new_cost: 896648.6119270405, current_cost: 896648.6119270405, global_best_cost: 896245.2677270406, elapsed_time: 23.44 seconds
Iteration: 2, combined_action: 3, new_cost: 897527.4611550709, current_cost: 896648.6119270405, global_best_cost: 896245.2677270406, elapsed_time: 24.06 seconds
Iteration: 3, combined_action: 11, new_cost: 898322.8883758074, current_cost: 896648.6119270405, global_best_cost: 896245.2677270406, elapsed_time: 24.68 seconds
Iteration: 4, combined_action: 11, new_cost: 898512.6981255525, current_cost: 896648.6119270405, global_best_cost: 896245.2677270406, elapsed_time: 25.33 seconds
Iteration: 5, combined_action: 5, new_cost: 898465.2307605972, current_cost: 896648.6119270405, global_best_cost: 896245.2677270406, elapsed_time: 25.99 seconds
Iteration: 6, combined_action: 8, new_cost: 897333.72797287, current_cost: 896648.6119270405, global_best_cost: 896245.2677270406, elapsed_time: 26.60 seconds
Iteration: 7, combined_action: 10, new_cost: 897349.8440914573, current_cost: 897349.8440914573, global_best_cost: 896245.2677270406, elapsed_time: 27.22 seconds
Iteration: 8, combined_action: 0, new_cost: 897285.4139054978, current_cost: 897285.4139054978, global_best_cost: 896245.2677270406, elapsed_time: 27.83 seconds
Iteration: 9, combined_action: 5, new_cost: 896245.4807270406, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 28.44 seconds
Iteration: 10, combined_action: 3, new_cost: 897532.2210528437, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 29.07 seconds
Iteration: 11, combined_action: 5, new_cost: 898877.2247925072, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 29.65 seconds
Iteration: 12, combined_action: 5, new_cost: 898273.1667614479, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 30.29 seconds
Iteration: 13, combined_action: 5, new_cost: 898655.4786219493, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 30.92 seconds
Iteration: 14, combined_action: 0, new_cost: 897527.4271550709, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 31.61 seconds
Iteration: 15, combined_action: 5, new_cost: 898057.3198913971, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 32.24 seconds
Iteration: 16, combined_action: 5, new_cost: 898655.4786219493, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 32.82 seconds
Iteration: 17, combined_action: 5, new_cost: 896755.0162221409, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 33.45 seconds
Iteration: 18, combined_action: 5, new_cost: 898057.3198913971, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 34.10 seconds
Iteration: 19, combined_action: 0, new_cost: 897527.427155071, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 34.70 seconds
Iteration: 20, combined_action: 5, new_cost: 898427.9401318168, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 35.29 seconds
Iteration: 21, combined_action: 7, new_cost: 898693.4570897011, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 35.88 seconds
Iteration: 22, combined_action: 14, new_cost: 927158.6359888717, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 36.51 seconds
Iteration: 23, combined_action: 4, new_cost: 899392.790060849, current_cost: 896245.4807270406, global_best_cost: 896245.2677270406, elapsed_time: 37.13 seconds
Iteration: 24, combined_action: 1, new_cost: 897527.489155071, current_cost: 897527.489155071, global_best_cost: 896245.2677270406, elapsed_time: 37.77 seconds
Iteration: 25, combined_action: 4, new_cost: 898171.2605972905, current_cost: 898171.2605972905, global_best_cost: 896245.2677270406, elapsed_time: 38.37 seconds
Iteration: 26, combined_action: 4, new_cost: 901315.5883238473, current_cost: 898171.2605972905, global_best_cost: 896245.2677270406, elapsed_time: 38.97 seconds
Iteration: 27, combined_action: 3, new_cost: 897527.469155071, current_cost: 897527.469155071, global_best_cost: 896245.2677270406, elapsed_time: 39.63 seconds
Iteration: 28, combined_action: 3, new_cost: 897527.4601550709, current_cost: 897527.4601550709, global_best_cost: 896245.2677270406, elapsed_time: 40.29 seconds
Iteration: 29, combined_action: 5, new_cost: 896245.5157270405, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 40.89 seconds
Iteration: 30, combined_action: 12, new_cost: 904269.6294372706, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 41.48 seconds
Iteration: 31, combined_action: 3, new_cost: 897527.4671550709, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 42.12 seconds
Iteration: 32, combined_action: 5, new_cost: 897653.9652798024, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 42.78 seconds
Iteration: 33, combined_action: 5, new_cost: 898273.1747614479, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 43.37 seconds
Iteration: 34, combined_action: 5, new_cost: 898107.6471614479, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 43.97 seconds
Iteration: 35, combined_action: 5, new_cost: 896921.4862470366, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 44.58 seconds
Iteration: 36, combined_action: 3, new_cost: 897579.9488919702, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 45.18 seconds
Iteration: 37, combined_action: 5, new_cost: 897755.7871550709, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 45.78 seconds
Iteration: 38, combined_action: 5, new_cost: 898171.3431084016, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 46.41 seconds
Iteration: 39, combined_action: 3, new_cost: 897538.5407500038, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 47.03 seconds
Iteration: 40, combined_action: 5, new_cost: 896691.3274974093, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 47.63 seconds
Iteration: 41, combined_action: 7, new_cost: 898376.8621821306, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 48.24 seconds
Iteration: 42, combined_action: 4, new_cost: 899307.2264914092, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 48.85 seconds
Iteration: 43, combined_action: 4, new_cost: 898171.3257528461, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 49.51 seconds
Iteration: 44, combined_action: 1, new_cost: 897527.505155071, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 50.17 seconds
Iteration: 45, combined_action: 3, new_cost: 897527.475155071, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 50.77 seconds
Iteration: 46, combined_action: 8, new_cost: 896245.5157270405, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 51.35 seconds
Iteration: 47, combined_action: 15, new_cost: 901089.6080798975, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 51.95 seconds
Iteration: 48, combined_action: 3, new_cost: 897762.9614806828, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 52.54 seconds
Iteration: 49, combined_action: 9, new_cost: 896371.9848517721, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 53.15 seconds
Iteration: 50, combined_action: 7, new_cost: 900190.2183614926, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 53.75 seconds
Iteration: 51, combined_action: 12, new_cost: 900774.2403842795, current_cost: 896245.5157270405, global_best_cost: 896245.2677270406, elapsed_time: 54.37 seconds
Iteration: 52, combined_action: 11, new_cost: 896245.4767270406, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 54.99 seconds
Iteration: 53, combined_action: 12, new_cost: 903177.6840371136, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 55.64 seconds
Iteration: 54, combined_action: 6, new_cost: 899078.8094271357, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 56.35 seconds
Iteration: 55, combined_action: 3, new_cost: 897527.4531550709, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 57.00 seconds
Iteration: 56, combined_action: 6, new_cost: 899129.281772977, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 57.64 seconds
Iteration: 57, combined_action: 7, new_cost: 898982.5216847613, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 58.27 seconds
Iteration: 58, combined_action: 12, new_cost: 903428.0280359014, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 58.89 seconds
Iteration: 59, combined_action: 14, new_cost: 902866.3496725142, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 59.52 seconds
Iteration: 60, combined_action: 9, new_cost: 896648.7199270405, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 60.16 seconds
Iteration: 61, combined_action: 10, new_cost: 897502.8269674343, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 60.82 seconds
Iteration: 62, combined_action: 1, new_cost: 897527.495155071, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 61.45 seconds
Iteration: 63, combined_action: 2, new_cost: 899223.357072181, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 62.07 seconds
Iteration: 64, combined_action: 9, new_cost: 897532.2700528436, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 62.72 seconds
Iteration: 65, combined_action: 11, new_cost: 896474.1040621301, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 63.34 seconds
Iteration: 66, combined_action: 11, new_cost: 897621.0137035792, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 63.93 seconds
Iteration: 67, combined_action: 4, new_cost: 898427.9169984835, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 64.54 seconds
Iteration: 68, combined_action: 11, new_cost: 896371.942851772, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 65.13 seconds
Iteration: 69, combined_action: 5, new_cost: 898109.9832783035, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 65.73 seconds
Iteration: 70, combined_action: 7, new_cost: 898057.297891397, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 66.33 seconds
Iteration: 71, combined_action: 3, new_cost: 897532.6074884601, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 66.93 seconds
Iteration: 72, combined_action: 14, new_cost: 900781.53184727, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 67.52 seconds
Iteration: 73, combined_action: 3, new_cost: 897554.8697438141, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 68.11 seconds
Iteration: 74, combined_action: 4, new_cost: 898173.5320328186, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 68.72 seconds
Iteration: 75, combined_action: 13, new_cost: 903471.922879122, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 69.32 seconds
Iteration: 76, combined_action: 9, new_cost: 898273.15798367, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 69.95 seconds
Iteration: 77, combined_action: 8, new_cost: 898110.8096328186, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 70.58 seconds
Iteration: 78, combined_action: 4, new_cost: 896648.6279270406, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 71.18 seconds
Iteration: 79, combined_action: 5, new_cost: 896371.975851772, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 71.78 seconds
Iteration: 80, combined_action: 10, new_cost: 897247.0171850497, current_cost: 896245.4767270406, global_best_cost: 896245.2677270406, elapsed_time: 72.40 seconds
Iteration: 81, combined_action: 8, new_cost: 896245.4767270405, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 73.03 seconds
Iteration: 82, combined_action: 14, new_cost: 901965.9712122987, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 73.66 seconds
Iteration: 83, combined_action: 13, new_cost: 900555.3160612378, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 74.32 seconds
Iteration: 84, combined_action: 0, new_cost: 897527.4431550709, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 74.98 seconds
Iteration: 85, combined_action: 12, new_cost: 992670.2905734703, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 75.61 seconds
Iteration: 86, combined_action: 11, new_cost: 898111.2006304822, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 76.26 seconds
Iteration: 87, combined_action: 10, new_cost: 898154.6096390032, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 76.96 seconds
Iteration: 88, combined_action: 13, new_cost: 901996.5497502899, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 77.56 seconds
Iteration: 89, combined_action: 2, new_cost: 898357.7378248316, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 78.19 seconds
Iteration: 90, combined_action: 6, new_cost: 898083.3793550731, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 78.84 seconds
Iteration: 91, combined_action: 1, new_cost: 897527.495155071, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 79.45 seconds
Iteration: 92, combined_action: 15, new_cost: 898793.0507770183, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 80.06 seconds
Iteration: 93, combined_action: 1, new_cost: 897527.4951550709, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 80.65 seconds
Iteration: 94, combined_action: 9, new_cost: 898649.8031020402, current_cost: 896245.4767270405, global_best_cost: 896245.2677270406, elapsed_time: 81.24 seconds
