Start the ALNS algorithm 
Iteration: 1, combined_action: 1, new_cost: 53793.39336595727, current_cost: 53793.39336595727, global_best_cost: 53784.344365957266, NoImprove: 1, elapsed_time: 15.01 seconds
Iteration: 2, combined_action: 13, new_cost: 61405.32683267445, current_cost: 53793.39336595727, global_best_cost: 53784.344365957266, NoImprove: 2, elapsed_time: 15.10 seconds
Iteration: 3, combined_action: 2, new_cost: 53831.87984844209, current_cost: 53793.39336595727, global_best_cost: 53784.344365957266, NoImprove: 3, elapsed_time: 15.17 seconds
Iteration: 4, combined_action: 3, new_cost: 53814.41401985731, current_cost: 53814.41401985731, global_best_cost: 53784.344365957266, NoImprove: 4, elapsed_time: 15.25 seconds
Iteration: 5, combined_action: 9, new_cost: 54862.390296855076, current_cost: 53814.41401985731, global_best_cost: 53784.344365957266, NoImprove: 5, elapsed_time: 15.34 seconds
Iteration: 6, combined_action: 0, new_cost: 53814.41401985731, current_cost: 53814.41401985731, global_best_cost: 53784.344365957266, NoImprove: 6, elapsed_time: 15.42 seconds
Iteration: 7, combined_action: 8, new_cost: 53814.41401985731, current_cost: 53814.41401985731, global_best_cost: 53784.344365957266, NoImprove: 7, elapsed_time: 15.50 seconds
Iteration: 8, combined_action: 1, new_cost: 53799.65977417772, current_cost: 53799.65977417772, global_best_cost: 53784.344365957266, NoImprove: 8, elapsed_time: 15.60 seconds
Iteration: 9, combined_action: 2, new_cost: 53829.49665927815, current_cost: 53829.49665927815, global_best_cost: 53784.344365957266, NoImprove: 9, elapsed_time: 15.68 seconds
ALNS completed. Global best cost: 53784.344365957266, Total time: 15.76 seconds
