Start the ALNS algorithm 
Iteration: 1, combined_action: 11, new_cost: 24884269.793368436, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 15.97 seconds
Iteration: 2, combined_action: 1, new_cost: 24885772.104428742, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 16.29 seconds
Iteration: 3, combined_action: 13, new_cost: 24893096.282578144, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 16.61 seconds
Iteration: 4, combined_action: 7, new_cost: 24884947.722879134, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 16.98 seconds
Iteration: 5, combined_action: 12, new_cost: 24885055.96465631, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 17.34 seconds
Iteration: 6, combined_action: 2, new_cost: 25791150.05570284, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 17.65 seconds
Iteration: 7, combined_action: 9, new_cost: 24883311.77474964, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 17.99 seconds
Iteration: 8, combined_action: 8, new_cost: 24883314.150257114, current_cost: 24883314.150257114, global_best_cost: 24882848.30090441, elapsed_time: 18.42 seconds
Iteration: 9, combined_action: 11, new_cost: 24882914.358535685, current_cost: 24882914.358535685, global_best_cost: 24882848.30090441, elapsed_time: 18.73 seconds
Iteration: 10, combined_action: 10, new_cost: 24883855.823104758, current_cost: 24882914.358535685, global_best_cost: 24882848.30090441, elapsed_time: 19.05 seconds
Iteration: 11, combined_action: 8, new_cost: 24882986.471693017, current_cost: 24882986.471693017, global_best_cost: 24882848.30090441, elapsed_time: 19.38 seconds
Iteration: 12, combined_action: 2, new_cost: 27554416.10284148, current_cost: 24882986.471693017, global_best_cost: 24882848.30090441, elapsed_time: 19.71 seconds
Iteration: 13, combined_action: 6, new_cost: 24961009.27886297, current_cost: 24882986.471693017, global_best_cost: 24882848.30090441, elapsed_time: 20.06 seconds
Iteration: 14, combined_action: 3, new_cost: 24885879.045154754, current_cost: 24882986.471693017, global_best_cost: 24882848.30090441, elapsed_time: 20.40 seconds
Iteration: 15, combined_action: 15, new_cost: 24890726.722417064, current_cost: 24882986.471693017, global_best_cost: 24882848.30090441, elapsed_time: 20.74 seconds
Iteration: 16, combined_action: 7, new_cost: 24883047.513555422, current_cost: 24883047.513555422, global_best_cost: 24882848.30090441, elapsed_time: 21.08 seconds
Iteration: 17, combined_action: 5, new_cost: 24889085.16821364, current_cost: 24883047.513555422, global_best_cost: 24882848.30090441, elapsed_time: 21.43 seconds
Iteration: 18, combined_action: 0, new_cost: 24884398.004529547, current_cost: 24884398.004529547, global_best_cost: 24882848.30090441, elapsed_time: 21.76 seconds
Iteration: 19, combined_action: 4, new_cost: 24884431.90652955, current_cost: 24884431.90652955, global_best_cost: 24882848.30090441, elapsed_time: 22.10 seconds
Iteration: 20, combined_action: 1, new_cost: 24886118.818334915, current_cost: 24884431.90652955, global_best_cost: 24882848.30090441, elapsed_time: 22.39 seconds
