Start the ALNS algorithm 
Iteration: 1, combined_action: 3, new_cost: 24885929.73253696, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 15.85 seconds
Iteration: 2, combined_action: 3, new_cost: 24885882.409667905, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 16.23 seconds
Iteration: 3, combined_action: 3, new_cost: 24886111.46106054, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 16.55 seconds
Iteration: 4, combined_action: 3, new_cost: 24885916.150215365, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 16.86 seconds
Iteration: 5, combined_action: 3, new_cost: 24885901.56943992, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 17.18 seconds
Iteration: 6, combined_action: 3, new_cost: 24884150.114171457, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 17.48 seconds
Iteration: 7, combined_action: 3, new_cost: 24886093.225237675, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 17.79 seconds
Iteration: 8, combined_action: 3, new_cost: 24886049.184743457, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 18.11 seconds
Iteration: 9, combined_action: 3, new_cost: 24884540.736713342, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 18.42 seconds
Iteration: 10, combined_action: 3, new_cost: 24885791.729210265, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 18.75 seconds
Iteration: 11, combined_action: 3, new_cost: 24885773.36977303, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 19.11 seconds
Iteration: 12, combined_action: 3, new_cost: 24885778.154954262, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 19.41 seconds
Iteration: 13, combined_action: 3, new_cost: 24885886.92427207, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 19.70 seconds
Iteration: 14, combined_action: 3, new_cost: 24885816.861591574, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 20.01 seconds
Iteration: 15, combined_action: 3, new_cost: 24885927.833627444, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 20.32 seconds
Iteration: 16, combined_action: 3, new_cost: 24885998.757524744, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 20.62 seconds
Iteration: 17, combined_action: 3, new_cost: 24885895.144767806, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 20.94 seconds
Iteration: 18, combined_action: 3, new_cost: 24885776.495489907, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 21.26 seconds
Iteration: 19, combined_action: 3, new_cost: 24885959.80949889, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 21.56 seconds
Iteration: 20, combined_action: 3, new_cost: 24885816.130177096, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 21.86 seconds
Iteration: 21, combined_action: 3, new_cost: 24886107.91532398, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 22.18 seconds
Iteration: 22, combined_action: 3, new_cost: 24885918.542184662, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 22.52 seconds
Iteration: 23, combined_action: 3, new_cost: 24885898.809030473, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 22.85 seconds
Iteration: 24, combined_action: 3, new_cost: 24885843.034659144, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 23.16 seconds
Iteration: 25, combined_action: 3, new_cost: 24886124.150896873, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 23.46 seconds
Iteration: 26, combined_action: 3, new_cost: 24885837.415960465, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 23.78 seconds
Iteration: 27, combined_action: 3, new_cost: 24885918.054407064, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 24.08 seconds
Iteration: 28, combined_action: 3, new_cost: 24884325.82916052, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 24.39 seconds
Iteration: 29, combined_action: 3, new_cost: 24884230.4881723, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 24.71 seconds
Iteration: 30, combined_action: 3, new_cost: 24886235.956492744, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 25.02 seconds
Iteration: 31, combined_action: 3, new_cost: 24886042.338464428, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 25.35 seconds
Iteration: 32, combined_action: 3, new_cost: 24885924.972639684, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 25.66 seconds
Iteration: 33, combined_action: 3, new_cost: 24885936.573334586, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 25.97 seconds
Iteration: 34, combined_action: 3, new_cost: 24884310.482292354, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 26.27 seconds
Iteration: 35, combined_action: 3, new_cost: 24886016.32914693, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 26.60 seconds
Iteration: 36, combined_action: 3, new_cost: 24885862.20949055, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 26.92 seconds
Iteration: 37, combined_action: 3, new_cost: 24885787.070514634, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 27.24 seconds
Iteration: 38, combined_action: 3, new_cost: 24884310.561898395, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 27.54 seconds
Iteration: 39, combined_action: 3, new_cost: 24885979.97929515, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 27.87 seconds
Iteration: 40, combined_action: 3, new_cost: 24886061.45255429, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 28.19 seconds
Iteration: 41, combined_action: 3, new_cost: 24886078.84199568, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 28.50 seconds
Iteration: 42, combined_action: 3, new_cost: 24885869.139589805, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 28.82 seconds
Iteration: 43, combined_action: 3, new_cost: 24886124.86913445, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 29.13 seconds
Iteration: 44, combined_action: 3, new_cost: 24884153.66175092, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 29.46 seconds
Iteration: 45, combined_action: 3, new_cost: 24885865.4475132, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 29.79 seconds
Iteration: 46, combined_action: 3, new_cost: 24886048.1792455, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 30.11 seconds
Iteration: 47, combined_action: 3, new_cost: 24885829.48307596, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 30.42 seconds
Iteration: 48, combined_action: 3, new_cost: 24885989.478751376, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 30.72 seconds
Iteration: 49, combined_action: 3, new_cost: 24885844.885613523, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 31.03 seconds
Iteration: 50, combined_action: 3, new_cost: 24884170.193706322, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 31.34 seconds
Iteration: 51, combined_action: 3, new_cost: 24885937.560036622, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 31.68 seconds
Iteration: 52, combined_action: 3, new_cost: 24886020.732651804, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 32.00 seconds
Iteration: 53, combined_action: 3, new_cost: 24885876.030418873, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 32.32 seconds
Iteration: 54, combined_action: 3, new_cost: 24885941.8534999, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 32.62 seconds
Iteration: 55, combined_action: 3, new_cost: 24885772.925245743, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 32.92 seconds
Iteration: 56, combined_action: 3, new_cost: 24885893.770682905, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 33.23 seconds
Iteration: 57, combined_action: 3, new_cost: 24885808.61662683, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 33.53 seconds
Iteration: 58, combined_action: 3, new_cost: 24885930.809951343, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 33.84 seconds
Iteration: 59, combined_action: 3, new_cost: 24885870.83643794, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 34.14 seconds
Iteration: 60, combined_action: 3, new_cost: 24885772.103428744, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 34.45 seconds
Iteration: 61, combined_action: 3, new_cost: 24886066.061393995, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 34.75 seconds
Iteration: 62, combined_action: 3, new_cost: 24885899.883003358, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 35.06 seconds
Iteration: 63, combined_action: 3, new_cost: 24885777.73275043, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 35.37 seconds
Iteration: 64, combined_action: 3, new_cost: 24885818.30098631, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 35.67 seconds
Iteration: 65, combined_action: 3, new_cost: 24884233.956855055, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 35.98 seconds
Iteration: 66, combined_action: 3, new_cost: 24886027.741215445, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 36.30 seconds
Iteration: 67, combined_action: 3, new_cost: 24886044.32942003, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 36.63 seconds
Iteration: 68, combined_action: 3, new_cost: 24884725.080074854, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 36.96 seconds
Iteration: 69, combined_action: 3, new_cost: 24885873.967998065, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 37.31 seconds
Iteration: 70, combined_action: 10, new_cost: 28066274.91054946, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 37.63 seconds
Iteration: 71, combined_action: 3, new_cost: 24885852.68124276, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 37.98 seconds
Iteration: 72, combined_action: 3, new_cost: 24884284.561039463, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 38.31 seconds
Iteration: 73, combined_action: 3, new_cost: 24885802.26007551, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 38.65 seconds
Iteration: 74, combined_action: 3, new_cost: 24885859.590381682, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 38.97 seconds
Iteration: 75, combined_action: 3, new_cost: 24885791.419711012, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 39.28 seconds
Iteration: 76, combined_action: 3, new_cost: 24886038.351734806, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 39.57 seconds
Iteration: 77, combined_action: 3, new_cost: 24885984.092136543, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 39.88 seconds
Iteration: 78, combined_action: 3, new_cost: 24886125.233130466, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 40.19 seconds
Iteration: 79, combined_action: 3, new_cost: 24885942.42216391, current_cost: 24882848.30090441, global_best_cost: 24882848.30090441, elapsed_time: 40.51 seconds
