Start the ALNS algorithm 
Iteration: 1, combined_action: 13, new_cost: 898955.4841071488, current_cost: 896245.2677270406, global_best_cost: 896245.2677270406, elapsed_time: 22.96 seconds
Iteration: 2, combined_action: 7, new_cost: 896819.2709479231, current_cost: 896819.2709479231, global_best_cost: 896245.2677270406, elapsed_time: 23.59 seconds
Iteration: 3, combined_action: 3, new_cost: 897608.285543182, current_cost: 897608.285543182, global_best_cost: 896245.2677270406, elapsed_time: 24.36 seconds
Iteration: 4, combined_action: 9, new_cost: 897631.9233757941, current_cost: 897631.9233757941, global_best_cost: 896245.2677270406, elapsed_time: 24.97 seconds
Iteration: 5, combined_action: 15, new_cost: 897591.8544764618, current_cost: 897591.8544764618, global_best_cost: 896245.2677270406, elapsed_time: 25.59 seconds
Iteration: 6, combined_action: 5, new_cost: 898877.9921020402, current_cost: 897591.8544764618, global_best_cost: 896245.2677270406, elapsed_time: 26.20 seconds
Iteration: 7, combined_action: 14, new_cost: 1139469.2285689092, current_cost: 897591.8544764618, global_best_cost: 896245.2677270406, elapsed_time: 26.81 seconds
Iteration: 8, combined_action: 10, new_cost: 899619.6516669602, current_cost: 897591.8544764618, global_best_cost: 896245.2677270406, elapsed_time: 27.48 seconds
Iteration: 9, combined_action: 8, new_cost: 897591.8544764618, current_cost: 897591.8544764618, global_best_cost: 896245.2677270406, elapsed_time: 28.13 seconds
Iteration: 10, combined_action: 11, new_cost: 897725.3714910572, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 28.81 seconds
Iteration: 11, combined_action: 15, new_cost: 905333.4256435906, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 29.44 seconds
Iteration: 12, combined_action: 6, new_cost: 900985.6607500657, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 30.08 seconds
Iteration: 13, combined_action: 15, new_cost: 899659.1238154001, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 30.74 seconds
Iteration: 14, combined_action: 15, new_cost: 900506.4451625806, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 31.40 seconds
Iteration: 15, combined_action: 15, new_cost: 905449.2824456576, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 32.00 seconds
Iteration: 16, combined_action: 15, new_cost: 901857.5149189779, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 32.62 seconds
Iteration: 17, combined_action: 13, new_cost: 901333.4979290279, current_cost: 897725.3714910572, global_best_cost: 896245.2677270406, elapsed_time: 33.27 seconds
Iteration: 18, combined_action: 15, new_cost: 898731.4401473392, current_cost: 898731.4401473392, global_best_cost: 896245.2677270406, elapsed_time: 33.88 seconds
Iteration: 19, combined_action: 15, new_cost: 905532.9053455035, current_cost: 898731.4401473392, global_best_cost: 896245.2677270406, elapsed_time: 34.50 seconds
Iteration: 20, combined_action: 15, new_cost: 1242532.3333165837, current_cost: 898731.4401473392, global_best_cost: 896245.2677270406, elapsed_time: 35.12 seconds
Iteration: 21, combined_action: 2, new_cost: 898108.0526802851, current_cost: 898108.0526802851, global_best_cost: 896245.2677270406, elapsed_time: 35.75 seconds
Iteration: 22, combined_action: 4, new_cost: 898636.0863580328, current_cost: 898108.0526802851, global_best_cost: 896245.2677270406, elapsed_time: 36.43 seconds
Iteration: 23, combined_action: 2, new_cost: 900325.4251150241, current_cost: 898108.0526802851, global_best_cost: 896245.2677270406, elapsed_time: 37.03 seconds
Iteration: 24, combined_action: 8, new_cost: 899732.4726101609, current_cost: 898108.0526802851, global_best_cost: 896245.2677270406, elapsed_time: 37.65 seconds
Iteration: 25, combined_action: 12, new_cost: 903212.362601707, current_cost: 898108.0526802851, global_best_cost: 896245.2677270406, elapsed_time: 38.27 seconds
Iteration: 26, combined_action: 7, new_cost: 896606.3291306958, current_cost: 896606.3291306958, global_best_cost: 896245.2677270406, elapsed_time: 38.94 seconds
Iteration: 27, combined_action: 4, new_cost: 898768.7886051553, current_cost: 896606.3291306958, global_best_cost: 896245.2677270406, elapsed_time: 39.59 seconds
Iteration: 28, combined_action: 7, new_cost: 898503.9538916945, current_cost: 896606.3291306958, global_best_cost: 896245.2677270406, elapsed_time: 40.23 seconds
Iteration: 29, combined_action: 15, new_cost: 896788.5250151694, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 40.85 seconds
Iteration: 30, combined_action: 5, new_cost: 901758.9574309102, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 41.51 seconds
Iteration: 31, combined_action: 7, new_cost: 901981.4241668471, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 42.10 seconds
Iteration: 32, combined_action: 2, new_cost: 898149.0431482034, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 42.72 seconds
Iteration: 33, combined_action: 2, new_cost: 898001.1696359575, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 43.35 seconds
Iteration: 34, combined_action: 7, new_cost: 898442.7719654674, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 43.97 seconds
Iteration: 35, combined_action: 7, new_cost: 900298.0960048349, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 44.58 seconds
Iteration: 36, combined_action: 7, new_cost: 900439.493379356, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 45.19 seconds
Iteration: 37, combined_action: 2, new_cost: 898629.8567621409, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 45.80 seconds
Iteration: 38, combined_action: 2, new_cost: 897799.4732746963, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 46.44 seconds
Iteration: 39, combined_action: 7, new_cost: 901987.2891486082, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 47.06 seconds
Iteration: 40, combined_action: 7, new_cost: 900540.48094053, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 47.70 seconds
Iteration: 41, combined_action: 1, new_cost: 897570.0200700293, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 48.31 seconds
Iteration: 42, combined_action: 9, new_cost: 898297.2901254628, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 48.94 seconds
Iteration: 43, combined_action: 1, new_cost: 897570.8080411177, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 49.54 seconds
Iteration: 44, combined_action: 0, new_cost: 897695.9884441692, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 50.13 seconds
Iteration: 45, combined_action: 13, new_cost: 898839.5839167889, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 50.72 seconds
Iteration: 46, combined_action: 4, new_cost: 899723.7650219147, current_cost: 896788.5250151694, global_best_cost: 896245.2677270406, elapsed_time: 51.33 seconds
Iteration: 47, combined_action: 1, new_cost: 896659.9732330666, current_cost: 896659.9732330666, global_best_cost: 896245.2677270406, elapsed_time: 51.92 seconds
Iteration: 48, combined_action: 9, new_cost: 897601.1325396772, current_cost: 896659.9732330666, global_best_cost: 896245.2677270406, elapsed_time: 52.55 seconds
Iteration: 49, combined_action: 11, new_cost: 900576.5933748754, current_cost: 896659.9732330666, global_best_cost: 896245.2677270406, elapsed_time: 53.15 seconds
Iteration: 50, combined_action: 1, new_cost: 898078.4236052383, current_cost: 896659.9732330666, global_best_cost: 896245.2677270406, elapsed_time: 53.76 seconds
Iteration: 51, combined_action: 1, new_cost: 897548.7673026355, current_cost: 896659.9732330666, global_best_cost: 896245.2677270406, elapsed_time: 54.36 seconds
Iteration: 52, combined_action: 1, new_cost: 897548.7673026355, current_cost: 896659.9732330666, global_best_cost: 896245.2677270406, elapsed_time: 54.97 seconds
Iteration: 53, combined_action: 1, new_cost: 896644.8344554721, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 55.54 seconds
Iteration: 54, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 56.14 seconds
Iteration: 55, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 56.74 seconds
Iteration: 56, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 57.32 seconds
Iteration: 57, combined_action: 1, new_cost: 898078.5303625313, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 57.89 seconds
Iteration: 58, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 58.48 seconds
Iteration: 59, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 59.07 seconds
Iteration: 60, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 59.65 seconds
Iteration: 61, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 60.23 seconds
Iteration: 62, combined_action: 2, new_cost: 898685.1410536912, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 60.81 seconds
Iteration: 63, combined_action: 3, new_cost: 897545.77222432, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 61.42 seconds
Iteration: 64, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 62.05 seconds
Iteration: 65, combined_action: 1, new_cost: 897548.7753161126, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 62.65 seconds
Iteration: 66, combined_action: 13, new_cost: 899095.4488724091, current_cost: 896644.8344554721, global_best_cost: 896245.2677270406, elapsed_time: 63.22 seconds
