Start the ALNS algorithm 
Iteration: 1, combined_action: 0, new_cost: 154780.78643407093, current_cost: 154780.78643407093, global_best_cost: 154780.78643407093, NoImprove: 0, elapsed_time: 0.82 seconds
Iteration: 2, combined_action: 5, new_cost: 284428.67458606046, current_cost: 154780.78643407093, global_best_cost: 154780.78643407093, NoImprove: 1, elapsed_time: 4.23 seconds
Iteration: 3, combined_action: 12, new_cost: 290607.789357957, current_cost: 154780.78643407093, global_best_cost: 154780.78643407093, NoImprove: 2, elapsed_time: 4.33 seconds
Iteration: 4, combined_action: 11, new_cost: 283239.22949301044, current_cost: 154780.78643407093, global_best_cost: 154780.78643407093, NoImprove: 3, elapsed_time: 4.42 seconds
Iteration: 5, combined_action: 2, new_cost: 149884.5077152814, current_cost: 149884.5077152814, global_best_cost: 149884.5077152814, NoImprove: 0, elapsed_time: 4.51 seconds
Iteration: 6, combined_action: 2, new_cost: 150720.46521993488, current_cost: 150720.46521993488, global_best_cost: 149884.5077152814, NoImprove: 1, elapsed_time: 4.60 seconds
Iteration: 7, combined_action: 0, new_cost: 151557.3812199349, current_cost: 150720.46521993488, global_best_cost: 149884.5077152814, NoImprove: 2, elapsed_time: 4.70 seconds
Iteration: 8, combined_action: 9, new_cost: 54705.66229729777, current_cost: 54705.66229729777, global_best_cost: 54705.66229729777, NoImprove: 0, elapsed_time: 4.80 seconds
Iteration: 9, combined_action: 2, new_cost: 56022.95612235806, current_cost: 54705.66229729777, global_best_cost: 54705.66229729777, NoImprove: 1, elapsed_time: 4.91 seconds
Iteration: 10, combined_action: 10, new_cost: 190062.33079623367, current_cost: 54705.66229729777, global_best_cost: 54705.66229729777, NoImprove: 2, elapsed_time: 5.01 seconds
Iteration: 11, combined_action: 0, new_cost: 55542.56629729776, current_cost: 54705.66229729777, global_best_cost: 54705.66229729777, NoImprove: 3, elapsed_time: 5.11 seconds
Iteration: 12, combined_action: 0, new_cost: 54705.566297297766, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 0, elapsed_time: 5.21 seconds
Iteration: 13, combined_action: 9, new_cost: 153513.14569179088, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 1, elapsed_time: 5.31 seconds
Iteration: 14, combined_action: 0, new_cost: 56404.56629729776, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 2, elapsed_time: 5.41 seconds
Iteration: 15, combined_action: 9, new_cost: 190031.5255117872, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 3, elapsed_time: 5.53 seconds
Iteration: 16, combined_action: 9, new_cost: 284987.37249301054, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 4, elapsed_time: 5.63 seconds
Iteration: 17, combined_action: 0, new_cost: 55567.56629729776, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 5, elapsed_time: 5.73 seconds
Iteration: 18, combined_action: 0, new_cost: 55542.56629729776, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 6, elapsed_time: 5.83 seconds
Iteration: 19, combined_action: 9, new_cost: 285224.37249301054, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 7, elapsed_time: 5.93 seconds
Iteration: 20, combined_action: 0, new_cost: 56404.56629729776, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 8, elapsed_time: 6.03 seconds
Iteration: 21, combined_action: 8, new_cost: 190623.67144312765, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 9, elapsed_time: 6.13 seconds
Iteration: 22, combined_action: 4, new_cost: 152308.07288989605, current_cost: 54705.566297297766, global_best_cost: 54705.566297297766, NoImprove: 10, elapsed_time: 6.23 seconds
Iteration: 23, combined_action: 11, new_cost: 54697.824684032945, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 0, elapsed_time: 6.32 seconds
Iteration: 24, combined_action: 0, new_cost: 54697.824684032945, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 1, elapsed_time: 6.42 seconds
Iteration: 25, combined_action: 15, new_cost: 192152.37651178715, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 2, elapsed_time: 6.52 seconds
Iteration: 26, combined_action: 9, new_cost: 151568.854584773, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 3, elapsed_time: 6.61 seconds
Iteration: 27, combined_action: 4, new_cost: 149672.51820797173, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 4, elapsed_time: 6.72 seconds
Iteration: 28, combined_action: 6, new_cost: 199111.69654428217, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 5, elapsed_time: 6.81 seconds
Iteration: 29, combined_action: 6, new_cost: 193276.4855117872, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 6, elapsed_time: 6.91 seconds
Iteration: 30, combined_action: 1, new_cost: 55791.44125059061, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 7, elapsed_time: 6.99 seconds
Iteration: 31, combined_action: 14, new_cost: 200308.39257681678, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 8, elapsed_time: 7.10 seconds
Iteration: 32, combined_action: 2, new_cost: 55401.01089198145, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 9, elapsed_time: 7.18 seconds
Iteration: 33, combined_action: 11, new_cost: 296971.21092312445, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 10, elapsed_time: 7.29 seconds
Iteration: 34, combined_action: 10, new_cost: 287354.0089894939, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 11, elapsed_time: 7.38 seconds
Iteration: 35, combined_action: 11, new_cost: 189782.86345994225, current_cost: 54697.824684032945, global_best_cost: 54697.824684032945, NoImprove: 12, elapsed_time: 7.47 seconds
Iteration: 36, combined_action: 3, new_cost: 54704.36764806844, current_cost: 54704.36764806844, global_best_cost: 54697.824684032945, NoImprove: 13, elapsed_time: 7.57 seconds
Iteration: 37, combined_action: 5, new_cost: 149066.71488989607, current_cost: 54704.36764806844, global_best_cost: 54697.824684032945, NoImprove: 14, elapsed_time: 7.68 seconds
Iteration: 38, combined_action: 8, new_cost: 190647.46179389837, current_cost: 54704.36764806844, global_best_cost: 54697.824684032945, NoImprove: 15, elapsed_time: 7.80 seconds
Iteration: 39, combined_action: 14, new_cost: 289712.79635795706, current_cost: 54704.36764806844, global_best_cost: 54697.824684032945, NoImprove: 16, elapsed_time: 7.91 seconds
Iteration: 40, combined_action: 11, new_cost: 150933.66041684276, current_cost: 54704.36764806844, global_best_cost: 54697.824684032945, NoImprove: 17, elapsed_time: 7.99 seconds
Iteration: 41, combined_action: 4, new_cost: 198540.02451478204, current_cost: 54704.36764806844, global_best_cost: 54697.824684032945, NoImprove: 18, elapsed_time: 8.10 seconds
