Start the ALNS algorithm 
Iteration: 1, combined_action: 13, new_cost: 6854596.336255939, current_cost: 5807675.598205036, global_best_cost: 5807675.598205036, elapsed_time: 86.13 seconds
Iteration: 2, combined_action: 13, new_cost: 5821409.147684695, current_cost: 5807675.598205036, global_best_cost: 5807675.598205036, elapsed_time: 88.49 seconds
Iteration: 3, combined_action: 13, new_cost: 5813621.710630923, current_cost: 5807675.598205036, global_best_cost: 5807675.598205036, elapsed_time: 90.57 seconds
Iteration: 4, combined_action: 13, new_cost: 5822546.80941299, current_cost: 5807675.598205036, global_best_cost: 5807675.598205036, elapsed_time: 92.40 seconds
Iteration: 5, combined_action: 13, new_cost: 5821409.147684694, current_cost: 5807675.598205036, global_best_cost: 5807675.598205036, elapsed_time: 94.32 seconds
Iteration: 6, combined_action: 13, new_cost: 5815787.541687127, current_cost: 5807675.598205036, global_best_cost: 5807675.598205036, elapsed_time: 96.14 seconds
Iteration: 7, combined_action: 13, new_cost: 5807685.037843211, current_cost: 5807685.037843211, global_best_cost: 5807675.598205036, elapsed_time: 97.79 seconds
Iteration: 8, combined_action: 13, new_cost: 6970923.16275241, current_cost: 5807685.037843211, global_best_cost: 5807675.598205036, elapsed_time: 99.60 seconds
Iteration: 9, combined_action: 13, new_cost: 5814024.334737164, current_cost: 5807685.037843211, global_best_cost: 5807675.598205036, elapsed_time: 101.67 seconds
Iteration: 10, combined_action: 13, new_cost: 5808411.215870543, current_cost: 5808411.215870543, global_best_cost: 5807675.598205036, elapsed_time: 103.53 seconds
