Start the ALNS algorithm 
Iteration: 38, combined_action: 3, new_cost: 96263.17054176817, current_cost: 96263.17054176817, global_best_cost: 96216.95680783698, NoImprove: 38, elapsed_time: 34.53 seconds
Iteration: 39, combined_action: 5, new_cost: 100099.62418384645, current_cost: 96263.17054176817, global_best_cost: 96216.95680783698, NoImprove: 39, elapsed_time: 34.97 seconds
Iteration: 40, combined_action: 5, new_cost: 98562.14145078465, current_cost: 96263.17054176817, global_best_cost: 96216.95680783698, NoImprove: 40, elapsed_time: 35.47 seconds
Iteration: 41, combined_action: 2, new_cost: 107835.41803367368, current_cost: 96263.17054176817, global_best_cost: 96216.95680783698, NoImprove: 41, elapsed_time: 35.92 seconds
Iteration: 42, combined_action: 12, new_cost: 131850.45707990113, current_cost: 96263.17054176817, global_best_cost: 96216.95680783698, NoImprove: 42, elapsed_time: 36.36 seconds
Iteration: 43, combined_action: 8, new_cost: 104650.09781181822, current_cost: 96263.17054176817, global_best_cost: 96216.95680783698, NoImprove: 43, elapsed_time: 36.80 seconds
Iteration: 44, combined_action: 3, new_cost: 96263.65726773217, current_cost: 96263.65726773217, global_best_cost: 96216.95680783698, NoImprove: 44, elapsed_time: 37.24 seconds
Iteration: 45, combined_action: 13, new_cost: 108360.31986025583, current_cost: 96263.65726773217, global_best_cost: 96216.95680783698, NoImprove: 45, elapsed_time: 37.69 seconds
Iteration: 46, combined_action: 1, new_cost: 96260.83903176349, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 46, elapsed_time: 38.12 seconds
Iteration: 47, combined_action: 6, new_cost: 111482.63702423304, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 47, elapsed_time: 38.58 seconds
Iteration: 48, combined_action: 5, new_cost: 98960.64543638572, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 48, elapsed_time: 39.03 seconds
Iteration: 49, combined_action: 5, new_cost: 100098.59294464973, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 49, elapsed_time: 39.49 seconds
Iteration: 50, combined_action: 7, new_cost: 100112.09415885492, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 50, elapsed_time: 39.91 seconds
Iteration: 51, combined_action: 10, new_cost: 99326.14635774342, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 51, elapsed_time: 40.35 seconds
Iteration: 52, combined_action: 8, new_cost: 96260.83903176349, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 52, elapsed_time: 40.79 seconds
Iteration: 53, combined_action: 5, new_cost: 98894.88353217767, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 53, elapsed_time: 41.24 seconds
Iteration: 54, combined_action: 8, new_cost: 103223.01225050451, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 54, elapsed_time: 41.68 seconds
Iteration: 55, combined_action: 15, new_cost: 101708.20964213539, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 55, elapsed_time: 42.19 seconds
Iteration: 56, combined_action: 7, new_cost: 99766.21706262126, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 56, elapsed_time: 42.64 seconds
Iteration: 57, combined_action: 5, new_cost: 98322.32289533746, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 57, elapsed_time: 43.09 seconds
Iteration: 58, combined_action: 13, new_cost: 99919.90592982274, current_cost: 96260.83903176349, global_best_cost: 96216.95680783698, NoImprove: 58, elapsed_time: 43.53 seconds
