Start the ALNS algorithm 
Iteration: 1, combined_action: 11, new_cost: 97555.49909783417, current_cost: 97555.49909783417, global_best_cost: 96216.95680783698, NoImprove: 1, elapsed_time: 18.44 seconds
Iteration: 2, combined_action: 9, new_cost: 98777.35313050209, current_cost: 98777.35313050209, global_best_cost: 96216.95680783698, NoImprove: 2, elapsed_time: 18.97 seconds
Iteration: 3, combined_action: 2, new_cost: 104499.14730554886, current_cost: 98777.35313050209, global_best_cost: 96216.95680783698, NoImprove: 3, elapsed_time: 19.44 seconds
Iteration: 4, combined_action: 1, new_cost: 96267.94635403632, current_cost: 96267.94635403632, global_best_cost: 96216.95680783698, NoImprove: 4, elapsed_time: 19.89 seconds
Iteration: 5, combined_action: 5, new_cost: 98898.09312860256, current_cost: 96267.94635403632, global_best_cost: 96216.95680783698, NoImprove: 5, elapsed_time: 20.33 seconds
Iteration: 6, combined_action: 9, new_cost: 96265.18515779724, current_cost: 96265.18515779724, global_best_cost: 96216.95680783698, NoImprove: 6, elapsed_time: 20.78 seconds
Iteration: 7, combined_action: 8, new_cost: 97003.01887680216, current_cost: 96265.18515779724, global_best_cost: 96216.95680783698, NoImprove: 7, elapsed_time: 21.22 seconds
Iteration: 8, combined_action: 11, new_cost: 97581.52404156036, current_cost: 96265.18515779724, global_best_cost: 96216.95680783698, NoImprove: 8, elapsed_time: 21.70 seconds
Iteration: 9, combined_action: 5, new_cost: 96978.93838162141, current_cost: 96265.18515779724, global_best_cost: 96216.95680783698, NoImprove: 9, elapsed_time: 22.15 seconds
Iteration: 10, combined_action: 0, new_cost: 96265.18515779724, current_cost: 96265.18515779724, global_best_cost: 96216.95680783698, NoImprove: 10, elapsed_time: 22.60 seconds
Iteration: 11, combined_action: 0, new_cost: 96265.18515779724, current_cost: 96265.18515779724, global_best_cost: 96216.95680783698, NoImprove: 11, elapsed_time: 23.06 seconds
Iteration: 12, combined_action: 0, new_cost: 96265.18515779724, current_cost: 96265.18515779724, global_best_cost: 96216.95680783698, NoImprove: 12, elapsed_time: 23.50 seconds
Iteration: 13, combined_action: 0, new_cost: 96265.26915779724, current_cost: 96265.26915779724, global_best_cost: 96216.95680783698, NoImprove: 13, elapsed_time: 23.93 seconds
Iteration: 14, combined_action: 11, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 14, elapsed_time: 24.37 seconds
Iteration: 15, combined_action: 2, new_cost: 105629.98046339057, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 15, elapsed_time: 24.83 seconds
Iteration: 16, combined_action: 6, new_cost: 98924.11835851875, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 16, elapsed_time: 25.29 seconds
Iteration: 17, combined_action: 15, new_cost: 100768.5666315613, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 17, elapsed_time: 25.74 seconds
Iteration: 18, combined_action: 7, new_cost: 100156.07245916044, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 18, elapsed_time: 26.21 seconds
Iteration: 19, combined_action: 10, new_cost: 109460.03377499567, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 19, elapsed_time: 26.65 seconds
Iteration: 20, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 20, elapsed_time: 27.10 seconds
Iteration: 21, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 21, elapsed_time: 27.57 seconds
Iteration: 22, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 22, elapsed_time: 28.00 seconds
Iteration: 23, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 23, elapsed_time: 28.42 seconds
Iteration: 24, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 24, elapsed_time: 28.84 seconds
Iteration: 25, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 25, elapsed_time: 29.26 seconds
Iteration: 26, combined_action: 10, new_cost: 96443.76042850025, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 26, elapsed_time: 29.69 seconds
Iteration: 27, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 27, elapsed_time: 30.12 seconds
Iteration: 28, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 28, elapsed_time: 30.58 seconds
Iteration: 29, combined_action: 0, new_cost: 96277.09751049579, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 29, elapsed_time: 31.01 seconds
Iteration: 30, combined_action: 9, new_cost: 98903.93986930414, current_cost: 96277.09751049579, global_best_cost: 96216.95680783698, NoImprove: 30, elapsed_time: 31.43 seconds
